Books,Price,mrp,Discount,Writer,Rating,People Liked
Mujhe Banna Hai Upsc Topper,240,?350,31% off,Sponsored,4.5,"-7,448"
Upsc New Syllabus & Tips to Crack IAS Preliminary and M...,171,?180,5% off,"English, Paperback, Experts Disha",4.3,"-14,464"
25 Years Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,564,,,"English, Paperback, unknown",4.5,"-24,324"
(Old edition) Indian Polity Sixth Revised Edition,1000,"?1,095",8% off,"English, Paperback, Laxmikanth M.",4.6,"-19,015"
Mission IAS,268,?270,,"English, Paperback, Disha Experts",4.4,"-2,796"
Indian Art and Culture for Civil Services and Other Com...,555,?825,32% off,"English, Hardcover, Singhania Nitin",4.6,"-17,731"
Upsc Syllabus & Tips to Crack IAS Prarambhik & Mukhya P...,172,?180,4% off,"Hindi, Electronic book text, Experts Disha",4.2,"-9,185"
History of Modern India,375,,,"English, Paperback, Chandra Bipan",4.3,"-14,920"
World History,342,?530,35% off,"English, Paperback, Reddy Krishna",4.5,-686
"26 Years UPSC Prelims Solved Papers in Hindi, Paper 1 &...",375,?380,1% off,"Paperback, Jagrati Awasthi IAS",4.4,-248
Bharat Ki Rajvyavastha  - Indian poloty by M Laxmikant.,702,?980,28% off,"Hindi, Paperback, Laxmikanth M",4.5,"-7,702"
151 Essays for IAS/ Pcs & Other Competitive Exams,320,?425,24% off,"English, Paperback, unknown",4.4,"-3,720"
Governance in India ( English| 3rd Edition) | UPSC | Ci...,487,?640,23% off,"English, Paperback, Laxmikanth M.",4.6,"-2,715"
Bhartiya Shasan,354,?530,33% off,"Hindi, Paperback, Laxmikanth M",4.5,"-1,231"
Ncert General Studies for Civil Services & State Servic...,354,?530,33% off,"English, Paperback, unknown",4.3,"-1,293"
"Indian Economy for Civil Services, Universities and Oth...",540,?740,27% off,"English, Paperback, Singh Ramesh",4.5,"-8,053"
Ekkisvin Shatabdi Mein Antrashtriya Sambandh,260,,,"Hindi, Paperback, unknown",4.4,"-1,459"
Modern Indian History,375,?750,50% off,"English, Paperback, Bansal Sonali",4.6,"-7,603"
Objective Indian Polity,354,?530,33% off,"English, Paperback, Laxmikanth M",4.4,"-1,238"
CDS Maths : Fastrack With Shortcut Tricks  - cds maths ...,384,?552,30% off,"English, Paperback, DDE",4.4,-471
Bharat Ki Rajvyavastha - Civil Seva Evam Anya Rajya Par...,695,?870,20% off,"Hindi, Paperback, Laxmikanth M.",4.5,"-20,911"
Indian Polity,549,?875,37% off,"Telugu, Paperback, Laxmikanth M",4.4,"-1,139"
Upsc IAS Prelims Paper 1 & 2 General Studies 10 Year-Wi...,300,,,"English, Paperback, unknown",4.4,"-1,718"
The General Science Compendium for IAS Prelims General ...,220,,,"English, Paperback, unknown",4.2,-474
Science and Technology,638,?695,8% off,"English, Paperback, Agrahari Ravi P",4.5,"-1,073"
International Relations,493,?495,,"English, Paperback, Singh Pavneet",4.5,"-5,227"
International Relations,350,,,"English, Paperback, unknown",4.5,"-1,218"
Ancient and Medieval India for UPSC (English| 2nd Editi...,495,?650,23% off,"English, Paperback, Dahiya Poonam Dalal",4.6,"-12,049"
Indian Economy for Civil Services and Other Competitive,589,?765,23% off,"English, Paperback, Singhania Nitin",4.6,"-4,110"
Mission CDS : Combined Defence Service Entrance Examina...,498,?729,31% off,"Paperback, DDE - Defence Direct Education",4.7,-16
"The Indian Economy | Civil Services, UPSC , PSC, IAS, I...",429,,,"Paperback, Sanjiv Verma",4.5,"-2,088"
Bhartiya Kala Evum Sanskriti,690,,,"Hindi, Paperback, unknown",4.6,"-8,307"
Indian Polity NCERT KA SAAR  - Indian Polity NCERT KA S...,180,?200,10% off,"Hindi, Undefined, unknown",4.3,-257
Bhartiya Arthvyavastha,675,?695,2% off,"Hindi, Paperback, Singh Ramesh",4.4,"-2,393"
Indian and World Geography,620,?650,4% off,"English, Paperback, Husain Majid",4.4,"-4,956"
8 Years Upsc Civil Services IAS Mains English (Compulso...,140,,,"English, Paperback, unknown",4.4,"-1,452"
24 Varsh Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,525,,,"English, Paperback, unknown",4.3,"-2,078"
"Exceptional Bihar - General Knowledge for Psc, Ssc & Ot...",190,,,"English, Paperback, Suman Shruti",4.2,-105
Mujhe Banna Hai Upsc Topper,240,?350,31% off,Sponsored,4.5,"-7,448"
Upsc New Syllabus & Tips to Crack IAS Preliminary and M...,171,?180,5% off,"English, Paperback, Experts Disha",4.3,"-14,464"
25 Years Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,564,,,"English, Paperback, unknown",4.5,"-24,324"
(Old edition) Indian Polity Sixth Revised Edition,1000,"?1,095",8% off,"English, Paperback, Laxmikanth M.",4.6,"-19,015"
Mission IAS,268,?270,,"English, Paperback, Disha Experts",4.4,"-2,796"
Indian Polity - for Civil Services and Other State Exam...,900,?940,4% off,"English, Paperback, Laxmikanth M.",4.6,"-49,425"
Indian Art and Culture for Civil Services and Other Com...,555,?825,32% off,"English, Hardcover, Singhania Nitin",4.6,"-17,731"
Upsc Syllabus & Tips to Crack IAS Prarambhik & Mukhya P...,265,?360,26% off,Sponsored,4.3,-26
Bharat Ka Bhugol,639,?670,4% off,"Hindi, Paperback, Husain Majid",4.4,"-3,614"
Science & Technology for Upsc & State Psc Civil Service...,225,?300,25% off,"English, Paperback, Pathak Ravi",4.3,-309
School Atlas from Inikao - School Student World Atlas M...,194,?250,22% off,Sponsored,4.4,"-1,754"
Vigyan Aur Praudyogiki,510,?595,14% off,"Hindi, Paperback, Agrahari Ravi P.",4.5,-358
Public Administration Question Bank for UPSC |Civil Ser...,354,?530,33% off,"Paperback, Mohanty Suman Sourav",4.3,-58
35 Landmark Historical (Ancient/ Medieval India) Develo...,170,?240,29% off,"English, Paperback, unknown",4.3,-78
200 Ethics & Integrity Case Studies with Discussions fo...,225,?250,10% off,"English, Paperback, Jha A. K.",4.5,-515
"History, Art & Culture Ncert Plus Objective & Subjectiv...",244,?325,24% off,"English, Paperback, Experts Disha",4.3,-654
151 Nibandh for IAS/Pcs & Other Competitive Exams,288,?360,20% off,"English, Paperback, unknown",4.3,"-1,423"
Environment and Ecology,337,?490,31% off,"English, Paperback, Anand Vaishali",4.5,"-1,808"
Samanya Adhyayan Manual 2022 ( Hindi) | GS Paper 2 | UP...,675,"?1,045",35% off,"Paperback, MHE",4.4,-25
"The Indian Economy in Hindi| Civil Services, UPSC , PSC...",399,?459,13% off,"Paperback, SANJIV VERMA",4.5,-32
Krishi Vigyan Ke Moolbhut Sidhant 16th Edition,510,?590,13% off,"Hindi, Paperback, Katyayan Arun",4.3,-381
"Vaividhya Jharkhand Samanya Gyan for Jpsc, Jssc & Other...",157,?275,42% off,"Hindi, Paperback, unknown",4,-111
The General Science Compendium for IAS Prelims General ...,180,?290,37% off,"English, Electronic book text, Disha Experts",4.3,-334
"The Mental Ability, Logical Reasoning & Problem Solving...",210,,,"English, Paperback, Disha Experts",4.3,-460
IAS Prarhambhik Paper 1 Samanya Adhyayan 30 Days Revisi...,210,,,"Hindi, Paperback, unknown",4.1,-101
IAS Prelims General Studies Paper 1 Last Minute Capsule,120,,,"English, Paperback, unknown",4.1,-274
Indian Economy,350,?490,28% off,"English, Paperback, Soni Aman",4.4,-265
IAS Prelims Samanya Adhyayan Paper 1 Last Minute Capsul...,120,,,"Hindi, Paperback, unknown",4.1,-221
Lucent's Samanya Vigyan Competition Guide Hindi  - Luce...,198,?230,13% off,"Paperback, Sanjeev Kumar, Neeraj Kumar Choudhary",4,-7
"The Indian Economy in Hindi| Civil Services, UPSC , PSC...",414,?459,9% off,"Paperback, Sanjiv Verma",4.3,-690
PW UPSC Prelims Previous Years Solved Question Papers |...,399,?450,11% off,"Paperback, PW",4.5,-17
PW Sampoorna UPSC Environment & Ecology Book | UPSC | C...,427,?596,28% off,"Paperback, PW",4.6,-17
Bharatiya Arthavyavastha for Civil Services Exams,651,?715,8% off,"Hindi, Paperback, unknown",4.5,"-1,306"
Super 10 Mock Tests for Upsc Epfo (Enforcement Officers...,197,?219,10% off,"English, Paperback, unknown",4.2,"-1,019"
7 Varsh Upsc IAS/ Ips Mains Samanya Adhyayan Varsh-Vaar...,300,,,"Hindi, Paperback, unknown",4.4,"-1,558"
Crack IAS Prelims General Studies Paper 1,1960,,,"English, Paperback, unknown",4.4,-403
6 Years Upsc Civil Services IAS Mains Topic-Wise Solved...,400,,,"English, Paperback, unknown",4.4,"-1,420"
Errorless 11 Years Uppsc General Studies Prelim Papers ...,290,,,"English, Paperback, unknown",4.4,-957
35 Landmark Environmental Developments for Upsc & State...,216,?240,10% off,"English, Paperback, unknown",4.4,-82
Geography Ncert Plus,264,?330,20% off,"English, Paperback, Malik Ashish",4.4,-864
Samanya Hindi avam Nibandh | UPSC/State Civil Services ...,260,?360,27% off,Sponsored,4.3,-91
Modern Indian History UPSC Civil Services Exam | Modern...,399,?699,42% off,Sponsored,4.5,"-1,371"
"Exceptional Bihar - General Knowledge for Psc, Ssc & Ot...",190,,,"English, Paperback, Suman Shruti",4.2,-700
Itihas (Bharat ka Itihas aur Bharatiya Rashtriya Andola...,276,?365,24% off,"Hindi, Paperback, Kumar Nalin",4.1,-104
Geography of India,775,?785,1% off,"English, Paperback, Husain Majid",4.5,"-10,478"
35 Landmark Social Developments for Upsc IAS/ Ips Preli...,216,?240,10% off,"English, Paperback, Jha Ajit Kumar",4.4,-116
School Atlas from Inikao - School Student World Atlas M...,194,?250,22% off,Sponsored,4.4,"-1,754"
Unique Quintessence of A Compendium of Essays,338,?450,24% off,Sponsored,4.4,-51
The Indian Polity & Governance Compendium for IAS Preli...,302,?310,2% off,"English, Paperback, Disha Experts",4.4,-415
